date,BL_ID,Bundesland,relativtrend,year,kw
2020-01-05,1,Schleswig-Holstein,0,2020,1
2020-01-12,1,Schleswig-Holstein,0,2020,2
2020-01-19,1,Schleswig-Holstein,0,2020,3
2020-01-26,1,Schleswig-Holstein,2,2020,4
2020-02-02,1,Schleswig-Holstein,2,2020,5
2020-02-09,1,Schleswig-Holstein,2,2020,6
2020-02-16,1,Schleswig-Holstein,1,2020,7
2020-02-23,1,Schleswig-Holstein,14,2020,8
2020-03-01,1,Schleswig-Holstein,21,2020,9
2020-03-08,1,Schleswig-Holstein,67,2020,10
2020-03-15,1,Schleswig-Holstein,100,2020,11
2020-03-22,1,Schleswig-Holstein,71,2020,12
2020-03-29,1,Schleswig-Holstein,52,2020,13
2020-04-05,1,Schleswig-Holstein,41,2020,14
2020-04-12,1,Schleswig-Holstein,44,2020,15
2020-04-19,1,Schleswig-Holstein,34,2020,16
2020-04-26,1,Schleswig-Holstein,32,2020,17
2020-05-03,1,Schleswig-Holstein,35,2020,18
2020-05-10,1,Schleswig-Holstein,27,2020,19
2020-05-17,1,Schleswig-Holstein,24,2020,20
2020-05-24,1,Schleswig-Holstein,22,2020,21
2020-05-31,1,Schleswig-Holstein,21,2020,22
2020-06-07,1,Schleswig-Holstein,18,2020,23
2020-06-14,1,Schleswig-Holstein,22,2020,24
2020-06-21,1,Schleswig-Holstein,20,2020,25
2020-06-28,1,Schleswig-Holstein,17,2020,26
2020-07-05,1,Schleswig-Holstein,18,2020,27
2020-07-12,1,Schleswig-Holstein,16,2020,28
2020-07-19,1,Schleswig-Holstein,17,2020,29
2020-07-26,1,Schleswig-Holstein,25,2020,30
2020-08-02,1,Schleswig-Holstein,21,2020,31
2020-08-09,1,Schleswig-Holstein,23,2020,32
2020-08-16,1,Schleswig-Holstein,20,2020,33
2020-08-23,1,Schleswig-Holstein,19,2020,34
2020-08-30,1,Schleswig-Holstein,16,2020,35
2020-09-06,1,Schleswig-Holstein,15,2020,36
2020-09-13,1,Schleswig-Holstein,17,2020,37
2020-09-20,1,Schleswig-Holstein,21,2020,38
2020-09-27,1,Schleswig-Holstein,24,2020,39
2020-10-04,1,Schleswig-Holstein,26,2020,40
2020-10-11,1,Schleswig-Holstein,36,2020,41
2020-10-18,1,Schleswig-Holstein,49,2020,42
2020-10-25,1,Schleswig-Holstein,62,2020,43
2020-11-01,1,Schleswig-Holstein,35,2020,44
2020-11-08,1,Schleswig-Holstein,27,2020,45
2020-11-15,1,Schleswig-Holstein,28,2020,46
2020-11-22,1,Schleswig-Holstein,31,2020,47
2020-11-29,1,Schleswig-Holstein,25,2020,48
2020-12-06,1,Schleswig-Holstein,40,2020,49
2020-12-13,1,Schleswig-Holstein,44,2020,50
