Kategorie: Alle Kategorien

Woche,corona: (Brandenburg)
2020-01-05,<1
2020-01-12,0
2020-01-19,<1
2020-01-26,3
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,14
2020-03-01,23
2020-03-08,66
2020-03-15,100
2020-03-22,78
2020-03-29,59
2020-04-05,44
2020-04-12,49
2020-04-19,38
2020-04-26,33
2020-05-03,36
2020-05-10,30
2020-05-17,24
2020-05-24,23
2020-05-31,18
2020-06-07,20
2020-06-14,21
2020-06-21,19
2020-06-28,14
2020-07-05,14
2020-07-12,12
2020-07-19,15
2020-07-26,18
2020-08-02,19
2020-08-09,18
2020-08-16,21
2020-08-23,20
2020-08-30,14
2020-09-06,14
2020-09-13,14
2020-09-20,15
2020-09-27,19
2020-10-04,33
2020-10-11,43
2020-10-18,49
2020-10-25,59
2020-11-01,38
2020-11-08,32
2020-11-15,33
2020-11-22,33
2020-11-29,30
2020-12-06,43
2020-12-13,55
2020-12-20,43
2020-12-27,37
2021-01-03,48
2021-01-10,40
2021-01-17,43
2021-01-24,34
