Kategorie: Alle Kategorien

Woche,corona: (Baden-Württemberg)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,3
2020-02-09,2
2020-02-16,2
2020-02-23,22
2020-03-01,30
2020-03-08,71
2020-03-15,100
2020-03-22,73
2020-03-29,57
2020-04-05,45
2020-04-12,47
2020-04-19,36
2020-04-26,34
2020-05-03,38
2020-05-10,32
2020-05-17,27
2020-05-24,27
2020-05-31,23
2020-06-07,21
2020-06-14,24
2020-06-21,22
2020-06-28,19
2020-07-05,20
2020-07-12,19
2020-07-19,20
2020-07-26,24
2020-08-02,23
2020-08-09,23
2020-08-16,25
2020-08-23,26
2020-08-30,20
2020-09-06,18
2020-09-13,20
2020-09-20,22
2020-09-27,23
2020-10-04,30
2020-10-11,48
2020-10-18,54
2020-10-25,55
2020-11-01,33
2020-11-08,30
2020-11-15,31
2020-11-22,31
2020-11-29,30
2020-12-06,46
2020-12-13,50
2020-12-20,39
2020-12-27,33
2021-01-03,46
2021-01-10,33
2021-01-17,36
2021-01-24,29
