Kategorie: Alle Kategorien

Woche,corona: (Bayern)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,4
2020-02-02,3
2020-02-09,2
2020-02-16,2
2020-02-23,16
2020-03-01,29
2020-03-08,70
2020-03-15,100
2020-03-22,76
2020-03-29,58
2020-04-05,47
2020-04-12,50
2020-04-19,39
2020-04-26,36
2020-05-03,39
2020-05-10,32
2020-05-17,26
2020-05-24,25
2020-05-31,23
2020-06-07,20
2020-06-14,26
2020-06-21,21
2020-06-28,19
2020-07-05,21
2020-07-12,19
2020-07-19,20
2020-07-26,25
2020-08-02,22
2020-08-09,24
2020-08-16,26
2020-08-23,26
2020-08-30,20
2020-09-06,21
2020-09-13,26
2020-09-20,28
2020-09-27,24
2020-10-04,26
2020-10-11,48
2020-10-18,67
2020-10-25,69
2020-11-01,36
2020-11-08,35
2020-11-15,34
2020-11-22,34
2020-11-29,32
2020-12-06,50
2020-12-13,47
2020-12-20,40
2020-12-27,34
2021-01-03,47
2021-01-10,41
2021-01-17,39
2021-01-24,32
