Kategorie: Alle Kategorien

Woche,corona: (Mecklenburg-Vorpommern)
2020-01-05,0
2020-01-12,0
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,13
2020-03-01,22
2020-03-08,62
2020-03-15,100
2020-03-22,72
2020-03-29,58
2020-04-05,44
2020-04-12,49
2020-04-19,36
2020-04-26,32
2020-05-03,38
2020-05-10,29
2020-05-17,24
2020-05-24,20
2020-05-31,21
2020-06-07,19
2020-06-14,21
2020-06-21,17
2020-06-28,15
2020-07-05,15
2020-07-12,14
2020-07-19,16
2020-07-26,22
2020-08-02,25
2020-08-09,23
2020-08-16,19
2020-08-23,18
2020-08-30,15
2020-09-06,13
2020-09-13,17
2020-09-20,18
2020-09-27,20
2020-10-04,30
2020-10-11,41
2020-10-18,49
2020-10-25,58
2020-11-01,36
2020-11-08,33
2020-11-15,30
2020-11-22,32
2020-11-29,27
2020-12-06,43
2020-12-13,49
2020-12-20,37
2020-12-27,31
2021-01-03,48
2021-01-10,39
2021-01-17,44
2021-01-24,34
