Kategorie: Alle Kategorien

Woche,corona: (Niedersachsen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,15
2020-03-01,23
2020-03-08,66
2020-03-15,100
2020-03-22,74
2020-03-29,56
2020-04-05,46
2020-04-12,47
2020-04-19,34
2020-04-26,33
2020-05-03,37
2020-05-10,29
2020-05-17,26
2020-05-24,26
2020-05-31,24
2020-06-07,22
2020-06-14,25
2020-06-21,23
2020-06-28,18
2020-07-05,18
2020-07-12,18
2020-07-19,18
2020-07-26,22
2020-08-02,21
2020-08-09,20
2020-08-16,21
2020-08-23,22
2020-08-30,18
2020-09-06,17
2020-09-13,20
2020-09-20,22
2020-09-27,22
2020-10-04,34
2020-10-11,44
2020-10-18,54
2020-10-25,64
2020-11-01,39
2020-11-08,35
2020-11-15,34
2020-11-22,32
2020-11-29,27
2020-12-06,38
2020-12-13,44
2020-12-20,37
2020-12-27,31
2021-01-03,44
2021-01-10,36
2021-01-17,40
2021-01-24,31
