Kategorie: Alle Kategorien

Woche,corona: (Nordrhein-Westfalen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,21
2020-03-01,26
2020-03-08,67
2020-03-15,100
2020-03-22,73
2020-03-29,54
2020-04-05,44
2020-04-12,47
2020-04-19,35
2020-04-26,34
2020-05-03,39
2020-05-10,31
2020-05-17,26
2020-05-24,25
2020-05-31,22
2020-06-07,20
2020-06-14,25
2020-06-21,26
2020-06-28,19
2020-07-05,20
2020-07-12,18
2020-07-19,18
2020-07-26,22
2020-08-02,21
2020-08-09,22
2020-08-16,23
2020-08-23,23
2020-08-30,18
2020-09-06,16
2020-09-13,19
2020-09-20,22
2020-09-27,23
2020-10-04,35
2020-10-11,53
2020-10-18,51
2020-10-25,57
2020-11-01,34
2020-11-08,31
2020-11-15,30
2020-11-22,30
2020-11-29,25
2020-12-06,37
2020-12-13,41
2020-12-20,35
2020-12-27,31
2021-01-03,42
2021-01-10,32
2021-01-17,34
2021-01-24,30
