Kategorie: Alle Kategorien

Woche,corona: (Rheinland-Pfalz)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,17
2020-03-01,21
2020-03-08,68
2020-03-15,100
2020-03-22,75
2020-03-29,55
2020-04-05,43
2020-04-12,45
2020-04-19,36
2020-04-26,33
2020-05-03,39
2020-05-10,30
2020-05-17,25
2020-05-24,25
2020-05-31,22
2020-06-07,20
2020-06-14,23
2020-06-21,22
2020-06-28,20
2020-07-05,20
2020-07-12,20
2020-07-19,18
2020-07-26,22
2020-08-02,23
2020-08-09,21
2020-08-16,25
2020-08-23,26
2020-08-30,20
2020-09-06,18
2020-09-13,18
2020-09-20,20
2020-09-27,23
2020-10-04,33
2020-10-11,49
2020-10-18,55
2020-10-25,64
2020-11-01,34
2020-11-08,32
2020-11-15,30
2020-11-22,31
2020-11-29,27
2020-12-06,38
2020-12-13,45
2020-12-20,34
2020-12-27,29
2021-01-03,40
2021-01-10,34
2021-01-17,35
2021-01-24,27
