Kategorie: Alle Kategorien

Woche,corona: (Schleswig-Holstein)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,15
2020-03-01,22
2020-03-08,71
2020-03-15,100
2020-03-22,73
2020-03-29,54
2020-04-05,45
2020-04-12,48
2020-04-19,34
2020-04-26,34
2020-05-03,34
2020-05-10,29
2020-05-17,25
2020-05-24,24
2020-05-31,21
2020-06-07,19
2020-06-14,23
2020-06-21,21
2020-06-28,18
2020-07-05,17
2020-07-12,17
2020-07-19,18
2020-07-26,25
2020-08-02,23
2020-08-09,24
2020-08-16,21
2020-08-23,22
2020-08-30,17
2020-09-06,16
2020-09-13,17
2020-09-20,22
2020-09-27,24
2020-10-04,29
2020-10-11,38
2020-10-18,50
2020-10-25,61
2020-11-01,37
2020-11-08,30
2020-11-15,28
2020-11-22,31
2020-11-29,25
2020-12-06,46
2020-12-13,48
2020-12-20,39
2020-12-27,30
2021-01-03,41
2021-01-10,35
2021-01-17,38
2021-01-24,33
