Kategorie: Alle Kategorien

Woche,corona: (Saarland)
2020-01-05,<1
2020-01-12,0
2020-01-19,<1
2020-01-26,3
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,14
2020-03-01,24
2020-03-08,72
2020-03-15,100
2020-03-22,70
2020-03-29,58
2020-04-05,41
2020-04-12,44
2020-04-19,34
2020-04-26,31
2020-05-03,32
2020-05-10,28
2020-05-17,25
2020-05-24,22
2020-05-31,21
2020-06-07,16
2020-06-14,21
2020-06-21,20
2020-06-28,17
2020-07-05,19
2020-07-12,18
2020-07-19,18
2020-07-26,21
2020-08-02,19
2020-08-09,22
2020-08-16,22
2020-08-23,23
2020-08-30,17
2020-09-06,17
2020-09-13,19
2020-09-20,18
2020-09-27,18
2020-10-04,27
2020-10-11,49
2020-10-18,48
2020-10-25,52
2020-11-01,33
2020-11-08,29
2020-11-15,27
2020-11-22,26
2020-11-29,21
2020-12-06,36
2020-12-13,37
2020-12-20,33
2020-12-27,30
2021-01-03,38
2021-01-10,27
2021-01-17,29
2021-01-24,25
