Kategorie: Alle Kategorien

Woche,corona: (Sachsen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,1
2020-02-23,13
2020-03-01,19
2020-03-08,63
2020-03-15,100
2020-03-22,78
2020-03-29,56
2020-04-05,46
2020-04-12,49
2020-04-19,36
2020-04-26,34
2020-05-03,37
2020-05-10,30
2020-05-17,24
2020-05-24,22
2020-05-31,20
2020-06-07,16
2020-06-14,19
2020-06-21,20
2020-06-28,13
2020-07-05,14
2020-07-12,14
2020-07-19,14
2020-07-26,18
2020-08-02,17
2020-08-09,16
2020-08-16,18
2020-08-23,20
2020-08-30,16
2020-09-06,15
2020-09-13,17
2020-09-20,19
2020-09-27,18
2020-10-04,27
2020-10-11,44
2020-10-18,58
2020-10-25,58
2020-11-01,37
2020-11-08,33
2020-11-15,35
2020-11-22,40
2020-11-29,43
2020-12-06,59
2020-12-13,53
2020-12-20,42
2020-12-27,37
2021-01-03,42
2021-01-10,35
2021-01-17,38
2021-01-24,32
