Kategorie: Alle Kategorien

Woche,corona: (Sachsen-Anhalt)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,1
2020-02-09,1
2020-02-16,1
2020-02-23,12
2020-03-01,22
2020-03-08,68
2020-03-15,100
2020-03-22,80
2020-03-29,57
2020-04-05,46
2020-04-12,49
2020-04-19,38
2020-04-26,37
2020-05-03,34
2020-05-10,30
2020-05-17,25
2020-05-24,22
2020-05-31,19
2020-06-07,18
2020-06-14,24
2020-06-21,21
2020-06-28,16
2020-07-05,14
2020-07-12,15
2020-07-19,14
2020-07-26,20
2020-08-02,16
2020-08-09,17
2020-08-16,18
2020-08-23,19
2020-08-30,14
2020-09-06,13
2020-09-13,16
2020-09-20,18
2020-09-27,19
2020-10-04,24
2020-10-11,34
2020-10-18,50
2020-10-25,61
2020-11-01,37
2020-11-08,34
2020-11-15,34
2020-11-22,33
2020-11-29,33
2020-12-06,43
2020-12-13,52
2020-12-20,42
2020-12-27,35
2021-01-03,47
2021-01-10,41
2021-01-17,40
2021-01-24,33
