Kategorie: Alle Kategorien

Woche,corona: (Thüringen)
2020-01-05,<1
2020-01-12,0
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,13
2020-03-01,22
2020-03-08,58
2020-03-15,100
2020-03-22,75
2020-03-29,54
2020-04-05,44
2020-04-12,44
2020-04-19,37
2020-04-26,33
2020-05-03,36
2020-05-10,30
2020-05-17,24
2020-05-24,22
2020-05-31,21
2020-06-07,19
2020-06-14,20
2020-06-21,17
2020-06-28,14
2020-07-05,16
2020-07-12,15
2020-07-19,15
2020-07-26,18
2020-08-02,17
2020-08-09,17
2020-08-16,17
2020-08-23,17
2020-08-30,14
2020-09-06,13
2020-09-13,17
2020-09-20,18
2020-09-27,18
2020-10-04,23
2020-10-11,39
2020-10-18,50
2020-10-25,59
2020-11-01,39
2020-11-08,33
2020-11-15,33
2020-11-22,37
2020-11-29,33
2020-12-06,48
2020-12-13,52
2020-12-20,40
2020-12-27,40
2021-01-03,49
2021-01-10,38
2021-01-17,39
2021-01-24,35
