"Datum";"Coronatrend";"Bundesland";"BL_ID"
"2020-03-01";21;"Hamburg";2
"2020-03-02";20;"Hamburg";2
"2020-03-03";18;"Hamburg";2
"2020-03-04";19;"Hamburg";2
"2020-03-05";21;"Hamburg";2
"2020-03-06";20;"Hamburg";2
"2020-03-07";16;"Hamburg";2
"2020-03-08";21;"Hamburg";2
"2020-03-09";28;"Hamburg";2
"2020-03-10";37;"Hamburg";2
"2020-03-11";46;"Hamburg";2
"2020-03-12";75;"Hamburg";2
"2020-03-13";100;"Hamburg";2
"2020-03-14";97;"Hamburg";2
"2020-03-15";100;"Hamburg";2
"2020-03-16";91;"Hamburg";2
"2020-03-17";83;"Hamburg";2
"2020-03-18";78;"Hamburg";2
"2020-03-19";75;"Hamburg";2
"2020-03-20";72;"Hamburg";2
"2020-03-21";75;"Hamburg";2
"2020-03-22";80;"Hamburg";2
"2020-03-23";58;"Hamburg";2
"2020-03-24";56;"Hamburg";2
"2020-03-25";53;"Hamburg";2
"2020-03-26";50;"Hamburg";2
"2020-03-27";52;"Hamburg";2
"2020-03-28";51;"Hamburg";2
"2020-03-29";50;"Hamburg";2
"2020-03-30";48;"Hamburg";2
"2020-03-31";43;"Hamburg";2
"2020-04-01";40;"Hamburg";2
"2020-04-02";41;"Hamburg";2
"2020-04-03";38;"Hamburg";2
"2020-04-04";39;"Hamburg";2
"2020-04-05";40;"Hamburg";2
"2020-04-06";35;"Hamburg";2
"2020-04-07";34;"Hamburg";2
"2020-04-08";33;"Hamburg";2
"2020-04-09";34;"Hamburg";2
"2020-04-10";30;"Hamburg";2
"2020-04-11";30;"Hamburg";2
"2020-04-12";29;"Hamburg";2
"2020-04-13";31;"Hamburg";2
"2020-04-14";30;"Hamburg";2
"2020-04-15";50;"Hamburg";2
"2020-04-16";36;"Hamburg";2
"2020-04-17";34;"Hamburg";2
"2020-04-18";32;"Hamburg";2
"2020-04-19";30;"Hamburg";2
"2020-04-20";28;"Hamburg";2
"2020-04-21";29;"Hamburg";2
"2020-04-22";27;"Hamburg";2
"2020-04-23";27;"Hamburg";2
