Kategorie: Alle Kategorien

Tag,corona: (Baden-Württemberg)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,4
2020-01-29,3
2020-01-30,3
2020-01-31,3
2020-02-01,3
2020-02-02,3
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,5
2020-02-24,6
2020-02-25,11
2020-02-26,19
2020-02-27,23
2020-02-28,30
2020-02-29,25
2020-03-01,20
2020-03-02,22
2020-03-03,22
2020-03-04,24
2020-03-05,26
2020-03-06,30
2020-03-07,24
2020-03-08,30
2020-03-09,34
2020-03-10,39
2020-03-11,52
2020-03-12,73
2020-03-13,100
2020-03-14,87
2020-03-15,87
2020-03-16,89
2020-03-17,81
2020-03-18,78
2020-03-19,77
2020-03-20,79
2020-03-21,78
2020-03-22,82
2020-03-23,63
2020-03-24,58
2020-03-25,56
2020-03-26,54
2020-03-27,54
2020-03-28,55
2020-03-29,53
2020-03-30,49
2020-03-31,47
2020-04-01,47
2020-04-02,45
2020-04-03,40
2020-04-04,42
2020-04-05,42
2020-04-06,40
2020-04-07,37
2020-04-08,36
2020-04-09,35
2020-04-10,34
2020-04-11,34
2020-04-12,34
2020-04-13,36
2020-04-14,35
2020-04-15,57
2020-04-16,39
2020-04-17,34
2020-04-18,32
2020-04-19,32
2020-04-20,31
2020-04-21,32
2020-04-22,30
2020-04-23,30
2020-04-24,28
2020-04-25,29
2020-04-26,29
2020-04-27,28
2020-04-28,27
2020-04-29,29
2020-04-30,29
2020-05-01,26
2020-05-02,26
2020-05-03,29
2020-05-04,27
2020-05-05,29
2020-05-06,45
2020-05-07,34
2020-05-08,28
2020-05-09,26
2020-05-10,29
2020-05-11,28
2020-05-12,25
2020-05-13,24
2020-05-14,24
2020-05-15,24
2020-05-16,24
2020-05-17,25
2020-05-18,25
2020-05-19,22
2020-05-20,22
2020-05-21,21
2020-05-22,20
2020-05-23,20
2020-05-24,22
2020-05-25,23
2020-05-26,23
2020-05-27,21
2020-05-28,21
2020-05-29,20
2020-05-30,20
2020-05-31,20
2020-06-01,21
2020-06-02,21
2020-06-03,19
2020-06-04,20
2020-06-05,18
2020-06-06,16
2020-06-07,17
2020-06-08,19
2020-06-09,18
2020-06-10,17
2020-06-11,17
2020-06-12,15
2020-06-13,16
2020-06-14,16
2020-06-15,19
2020-06-16,27
2020-06-17,21
2020-06-18,19
2020-06-19,16
2020-06-20,16
2020-06-21,16
2020-06-22,18
2020-06-23,19
2020-06-24,18
2020-06-25,17
2020-06-26,16
2020-06-27,16
2020-06-28,16
2020-06-29,17
2020-06-30,16
2020-07-01,16
2020-07-02,15
2020-07-03,15
2020-07-04,15
2020-07-05,16
2020-07-06,16
2020-07-07,17
2020-07-08,17
