Kategorie: Alle Kategorien

Tag,corona: (Bayern)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,2
2020-01-28,6
2020-01-29,5
2020-01-30,4
2020-01-31,4
2020-02-01,4
2020-02-02,4
2020-02-03,3
2020-02-04,3
2020-02-05,3
2020-02-06,2
2020-02-07,3
2020-02-08,2
2020-02-09,1
2020-02-10,2
2020-02-11,2
2020-02-12,2
2020-02-13,2
2020-02-14,2
2020-02-15,2
2020-02-16,2
2020-02-17,2
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,6
2020-02-24,8
2020-02-25,11
2020-02-26,17
2020-02-27,20
2020-02-28,23
2020-02-29,22
2020-03-01,23
2020-03-02,28
2020-03-03,24
2020-03-04,27
2020-03-05,32
2020-03-06,32
2020-03-07,29
2020-03-08,36
2020-03-09,42
2020-03-10,49
2020-03-11,56
2020-03-12,83
2020-03-13,100
2020-03-14,95
2020-03-15,93
2020-03-16,98
2020-03-17,94
2020-03-18,92
2020-03-19,91
2020-03-20,95
2020-03-21,90
2020-03-22,95
2020-03-23,77
2020-03-24,70
2020-03-25,67
2020-03-26,65
2020-03-27,65
2020-03-28,68
2020-03-29,64
2020-03-30,60
2020-03-31,57
2020-04-01,56
2020-04-02,55
2020-04-03,51
2020-04-04,51
2020-04-05,51
2020-04-06,50
2020-04-07,47
2020-04-08,44
2020-04-09,42
2020-04-10,41
2020-04-11,41
2020-04-12,40
2020-04-13,42
2020-04-14,44
2020-04-15,75
2020-04-16,57
2020-04-17,42
2020-04-18,38
2020-04-19,39
2020-04-20,40
2020-04-21,37
2020-04-22,36
2020-04-23,36
2020-04-24,35
2020-04-25,35
2020-04-26,36
2020-04-27,34
2020-04-28,37
2020-04-29,34
2020-04-30,35
2020-05-01,31
2020-05-02,30
2020-05-03,33
2020-05-04,33
2020-05-05,46
2020-05-06,41
2020-05-07,36
2020-05-08,31
2020-05-09,30
2020-05-10,33
2020-05-11,32
2020-05-12,30
2020-05-13,29
2020-05-14,28
2020-05-15,27
2020-05-16,27
2020-05-17,28
2020-05-18,28
2020-05-19,26
2020-05-20,25
2020-05-21,25
2020-05-22,22
2020-05-23,24
2020-05-24,25
2020-05-25,26
2020-05-26,28
2020-05-27,24
2020-05-28,23
2020-05-29,22
2020-05-30,22
2020-05-31,22
2020-06-01,22
2020-06-02,22
2020-06-03,22
2020-06-04,24
2020-06-05,21
2020-06-06,19
2020-06-07,20
2020-06-08,21
2020-06-09,20
2020-06-10,18
2020-06-11,20
2020-06-12,20
2020-06-13,19
2020-06-14,21
2020-06-15,24
2020-06-16,39
2020-06-17,25
2020-06-18,21
2020-06-19,21
2020-06-20,21
2020-06-21,20
2020-06-22,20
2020-06-23,22
2020-06-24,21
2020-06-25,20
2020-06-26,19
2020-06-27,18
2020-06-28,19
2020-06-29,19
2020-06-30,19
2020-07-01,17
2020-07-02,17
2020-07-03,17
2020-07-04,18
2020-07-05,20
2020-07-06,20
2020-07-07,21
2020-07-08,20
