Kategorie: Alle Kategorien

Tag,corona: (Berlin)
2020-01-01,<1
2020-01-02,<1
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,<1
2020-01-07,<1
2020-01-08,0
2020-01-09,0
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,0
2020-01-14,<1
2020-01-15,0
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,2
2020-01-28,4
2020-01-29,3
2020-01-30,4
2020-01-31,2
2020-02-01,3
2020-02-02,3
2020-02-03,3
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,2
2020-02-09,2
2020-02-10,2
2020-02-11,1
2020-02-12,1
2020-02-13,2
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,5
2020-02-24,6
2020-02-25,10
2020-02-26,16
2020-02-27,20
2020-02-28,23
2020-02-29,19
2020-03-01,18
2020-03-02,32
2020-03-03,31
2020-03-04,26
2020-03-05,27
2020-03-06,24
2020-03-07,16
2020-03-08,24
2020-03-09,28
2020-03-10,37
2020-03-11,52
2020-03-12,76
2020-03-13,98
2020-03-14,100
2020-03-15,98
2020-03-16,93
2020-03-17,89
2020-03-18,80
2020-03-19,78
2020-03-20,78
2020-03-21,76
2020-03-22,82
2020-03-23,65
2020-03-24,59
2020-03-25,56
2020-03-26,53
2020-03-27,53
2020-03-28,55
2020-03-29,51
2020-03-30,49
2020-03-31,48
2020-04-01,47
2020-04-02,43
2020-04-03,42
2020-04-04,35
2020-04-05,40
2020-04-06,39
2020-04-07,33
2020-04-08,30
2020-04-09,28
2020-04-10,27
2020-04-11,32
2020-04-12,32
2020-04-13,33
2020-04-14,34
2020-04-15,50
2020-04-16,40
2020-04-17,32
2020-04-18,32
2020-04-19,32
2020-04-20,30
2020-04-21,32
2020-04-22,30
2020-04-23,31
2020-04-24,27
2020-04-25,27
2020-04-26,25
2020-04-27,27
2020-04-28,29
2020-04-29,29
2020-04-30,27
2020-05-01,24
2020-05-02,23
2020-05-03,26
2020-05-04,28
2020-05-05,22
2020-05-06,38
2020-05-07,28
2020-05-08,22
2020-05-09,22
2020-05-10,27
2020-05-11,26
2020-05-12,26
2020-05-13,23
2020-05-14,22
2020-05-15,21
2020-05-16,20
2020-05-17,20
2020-05-18,22
2020-05-19,19
2020-05-20,20
2020-05-21,18
2020-05-22,15
2020-05-23,18
2020-05-24,20
2020-05-25,22
2020-05-26,19
2020-05-27,20
2020-05-28,19
2020-05-29,18
2020-05-30,17
2020-05-31,16
2020-06-01,17
2020-06-02,14
2020-06-03,14
2020-06-04,17
2020-06-05,15
2020-06-06,15
2020-06-07,16
2020-06-08,16
2020-06-09,17
2020-06-10,16
2020-06-11,15
2020-06-12,15
2020-06-13,15
2020-06-14,15
2020-06-15,19
2020-06-16,28
2020-06-17,20
2020-06-18,19
2020-06-19,17
2020-06-20,16
2020-06-21,18
2020-06-22,19
2020-06-23,22
2020-06-24,20
2020-06-25,17
2020-06-26,18
2020-06-27,15
2020-06-28,16
2020-06-29,16
2020-06-30,13
2020-07-01,15
2020-07-02,11
2020-07-03,9
2020-07-04,12
2020-07-05,13
2020-07-06,14
2020-07-07,14
2020-07-08,15
