Kategorie: Alle Kategorien

Woche,corona: (Deutschland)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,1
2020-02-23,17
2020-03-01,25
2020-03-08,68
2020-03-15,100
2020-03-22,73
2020-03-29,56
2020-04-05,45
2020-04-12,46
2020-04-19,36
2020-04-26,34
2020-05-03,37
2020-05-10,30
2020-05-17,25
2020-05-24,25
2020-05-31,22
2020-06-07,20
2020-06-14,24
2020-06-21,22
2020-06-28,19
2020-07-05,18
2020-07-12,17
2020-07-19,18
2020-07-26,22
2020-08-02,22
2020-08-09,21
2020-08-16,22
2020-08-23,23
2020-08-30,18
2020-09-06,16
2020-09-13,19
2020-09-20,22
2020-09-27,22
2020-10-04,31
2020-10-11,46
2020-10-18,54
2020-10-25,60
2020-11-01,35
2020-11-08,32
2020-11-15,31
2020-11-22,30
2020-11-29,27
2020-12-06,42
2020-12-13,44
2020-12-20,36
2020-12-27,31
2021-01-03,44
2021-01-10,34
2021-01-17,36
2021-01-24,29
