Kategorie: Alle Kategorien

Tag,corona: (Hessen)
2020-01-01,<1
2020-01-02,0
2020-01-03,<1
2020-01-04,0
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,0
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,0
2020-01-17,0
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,1
2020-01-25,1
2020-01-26,1
2020-01-27,2
2020-01-28,4
2020-01-29,3
2020-01-30,4
2020-01-31,3
2020-02-01,3
2020-02-02,2
2020-02-03,3
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,2
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,2
2020-02-13,2
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,4
2020-02-24,6
2020-02-25,8
2020-02-26,14
2020-02-27,18
2020-02-28,27
2020-02-29,25
2020-03-01,23
2020-03-02,23
2020-03-03,22
2020-03-04,20
2020-03-05,22
2020-03-06,23
2020-03-07,18
2020-03-08,24
2020-03-09,27
2020-03-10,35
2020-03-11,44
2020-03-12,73
2020-03-13,100
2020-03-14,84
2020-03-15,90
2020-03-16,87
2020-03-17,85
2020-03-18,76
2020-03-19,75
2020-03-20,78
2020-03-21,78
2020-03-22,86
2020-03-23,63
2020-03-24,57
2020-03-25,56
2020-03-26,52
2020-03-27,52
2020-03-28,54
2020-03-29,50
2020-03-30,51
2020-03-31,45
2020-04-01,44
2020-04-02,43
2020-04-03,40
2020-04-04,40
2020-04-05,43
2020-04-06,38
2020-04-07,36
2020-04-08,35
2020-04-09,32
2020-04-10,31
2020-04-11,33
2020-04-12,31
2020-04-13,35
2020-04-14,32
2020-04-15,52
2020-04-16,38
2020-04-17,31
2020-04-18,30
2020-04-19,30
2020-04-20,29
2020-04-21,28
2020-04-22,28
2020-04-23,28
2020-04-24,28
2020-04-25,26
2020-04-26,27
2020-04-27,26
2020-04-28,29
2020-04-29,28
2020-04-30,27
2020-05-01,26
2020-05-02,26
2020-05-03,28
2020-05-04,26
2020-05-05,29
2020-05-06,38
2020-05-07,35
2020-05-08,28
2020-05-09,24
2020-05-10,28
2020-05-11,26
2020-05-12,24
2020-05-13,24
2020-05-14,22
2020-05-15,22
2020-05-16,21
2020-05-17,21
2020-05-18,23
2020-05-19,21
2020-05-20,19
2020-05-21,19
2020-05-22,17
2020-05-23,20
2020-05-24,21
2020-05-25,20
2020-05-26,20
2020-05-27,20
2020-05-28,18
2020-05-29,18
2020-05-30,18
2020-05-31,17
2020-06-01,18
2020-06-02,17
2020-06-03,16
2020-06-04,19
2020-06-05,17
2020-06-06,16
2020-06-07,16
2020-06-08,18
2020-06-09,17
2020-06-10,20
2020-06-11,16
2020-06-12,15
2020-06-13,15
2020-06-14,15
2020-06-15,18
2020-06-16,27
2020-06-17,20
2020-06-18,19
2020-06-19,17
2020-06-20,17
2020-06-21,18
2020-06-22,17
2020-06-23,18
2020-06-24,18
2020-06-25,17
2020-06-26,17
2020-06-27,16
2020-06-28,15
2020-06-29,15
2020-06-30,15
2020-07-01,15
2020-07-02,14
2020-07-03,14
2020-07-04,15
2020-07-05,16
2020-07-06,15
2020-07-07,15
2020-07-08,15
