Kategorie: Alle Kategorien

Tag,corona: (Mecklenburg-Vorpommern)
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,<1
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,1
2020-01-23,<1
2020-01-24,<1
2020-01-25,1
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,2
2020-01-30,4
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-08,2
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,<1
2020-02-20,1
2020-02-21,<1
2020-02-22,1
2020-02-23,3
2020-02-24,5
2020-02-25,5
2020-02-26,12
2020-02-27,21
2020-02-28,21
2020-02-29,15
2020-03-01,15
2020-03-02,17
2020-03-03,22
2020-03-04,20
2020-03-05,19
2020-03-06,18
2020-03-07,15
2020-03-08,19
2020-03-09,22
2020-03-10,27
2020-03-11,38
2020-03-12,69
2020-03-13,100
2020-03-14,98
2020-03-15,92
2020-03-16,91
2020-03-17,83
2020-03-18,78
2020-03-19,80
2020-03-20,80
2020-03-21,82
2020-03-22,87
2020-03-23,68
2020-03-24,59
2020-03-25,55
2020-03-26,52
2020-03-27,55
2020-03-28,58
2020-03-29,52
2020-03-30,48
2020-03-31,45
2020-04-01,46
2020-04-02,49
2020-04-03,43
2020-04-04,43
2020-04-05,43
2020-04-06,43
2020-04-07,40
2020-04-08,39
2020-04-09,38
2020-04-10,35
2020-04-11,34
2020-04-12,34
2020-04-13,33
2020-04-14,36
2020-04-15,58
2020-04-16,44
2020-04-17,35
2020-04-18,32
2020-04-19,33
2020-04-20,30
2020-04-21,31
2020-04-22,32
2020-04-23,34
2020-04-24,30
2020-04-25,29
2020-04-26,29
2020-04-27,30
2020-04-28,27
2020-04-29,29
2020-04-30,30
2020-05-01,25
2020-05-02,22
2020-05-03,22
2020-05-04,26
2020-05-05,30
2020-05-06,36
2020-05-07,36
2020-05-08,28
2020-05-09,24
2020-05-10,28
2020-05-11,25
2020-05-12,24
2020-05-13,25
2020-05-14,20
2020-05-15,23
2020-05-16,23
2020-05-17,24
2020-05-18,21
2020-05-19,21
2020-05-20,22
2020-05-21,19
2020-05-22,17
2020-05-23,17
2020-05-24,17
2020-05-25,19
2020-05-26,18
2020-05-27,19
2020-05-28,17
2020-05-29,19
2020-05-30,15
2020-05-31,17
2020-06-01,17
2020-06-02,18
2020-06-03,19
2020-06-04,20
2020-06-05,18
2020-06-06,16
2020-06-07,18
2020-06-08,20
2020-06-09,19
2020-06-10,16
2020-06-11,16
2020-06-12,14
2020-06-13,13
2020-06-14,14
2020-06-15,18
2020-06-16,24
2020-06-17,19
2020-06-18,17
2020-06-19,14
2020-06-20,14
2020-06-21,15
2020-06-22,15
2020-06-23,14
2020-06-24,17
2020-06-25,18
2020-06-26,14
2020-06-27,15
2020-06-28,15
2020-06-29,15
2020-06-30,12
2020-07-01,11
2020-07-02,12
2020-07-03,12
2020-07-04,12
2020-07-05,13
2020-07-06,13
2020-07-07,13
2020-07-08,13
