Kategorie: Alle Kategorien

Tag,corona: (Saarland)
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,1
2020-01-24,1
2020-01-25,1
2020-01-26,2
2020-01-27,1
2020-01-28,3
2020-01-29,2
2020-01-30,3
2020-01-31,4
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,2
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,<1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,2
2020-02-23,4
2020-02-24,4
2020-02-25,7
2020-02-26,15
2020-02-27,19
2020-02-28,19
2020-02-29,16
2020-03-01,14
2020-03-02,18
2020-03-03,35
2020-03-04,22
2020-03-05,20
2020-03-06,24
2020-03-07,20
2020-03-08,30
2020-03-09,34
2020-03-10,35
2020-03-11,67
2020-03-12,84
2020-03-13,100
2020-03-14,96
2020-03-15,98
2020-03-16,85
2020-03-17,88
2020-03-18,76
2020-03-19,76
2020-03-20,82
2020-03-21,79
2020-03-22,85
2020-03-23,68
2020-03-24,61
2020-03-25,59
2020-03-26,61
2020-03-27,55
2020-03-28,59
2020-03-29,50
2020-03-30,53
2020-03-31,56
2020-04-01,51
2020-04-02,46
2020-04-03,42
2020-04-04,47
2020-04-05,43
2020-04-06,41
2020-04-07,41
2020-04-08,35
2020-04-09,33
2020-04-10,37
2020-04-11,30
2020-04-12,30
2020-04-13,33
2020-04-14,32
2020-04-15,52
2020-04-16,41
2020-04-17,31
2020-04-18,33
2020-04-19,30
2020-04-20,30
2020-04-21,28
2020-04-22,34
2020-04-23,28
2020-04-24,24
2020-04-25,25
2020-04-26,29
2020-04-27,29
2020-04-28,30
2020-04-29,26
2020-04-30,25
2020-05-01,26
2020-05-02,31
2020-05-03,29
2020-05-04,27
2020-05-05,26
2020-05-06,30
2020-05-07,29
2020-05-08,24
2020-05-09,22
2020-05-10,28
2020-05-11,26
2020-05-12,22
2020-05-13,22
2020-05-14,23
2020-05-15,21
2020-05-16,20
2020-05-17,21
2020-05-18,22
2020-05-19,20
2020-05-20,20
2020-05-21,20
2020-05-22,15
2020-05-23,16
2020-05-24,23
2020-05-25,21
2020-05-26,19
2020-05-27,18
2020-05-28,18
2020-05-29,20
2020-05-30,20
2020-05-31,17
2020-06-01,19
2020-06-02,19
2020-06-03,18
2020-06-04,20
2020-06-05,16
2020-06-06,15
2020-06-07,14
2020-06-08,17
2020-06-09,14
2020-06-10,14
2020-06-11,18
2020-06-12,13
2020-06-13,14
2020-06-14,17
2020-06-15,19
2020-06-16,25
2020-06-17,22
2020-06-18,17
2020-06-19,16
2020-06-20,15
2020-06-21,16
2020-06-22,16
2020-06-23,16
2020-06-24,17
2020-06-25,16
2020-06-26,15
2020-06-27,18
2020-06-28,17
2020-06-29,16
2020-06-30,16
2020-07-01,15
2020-07-02,15
2020-07-03,13
2020-07-04,13
2020-07-05,15
2020-07-06,17
2020-07-07,14
2020-07-08,17
