Kategorie: Alle Kategorien

Tag,corona: (Schleswig-Holstein)
2020-01-01,<1
2020-01-02,0
2020-01-03,<1
2020-01-04,<1
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,<1
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,<1
2020-01-19,0
2020-01-20,0
2020-01-21,<1
2020-01-22,<1
2020-01-23,<1
2020-01-24,<1
2020-01-25,<1
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,3
2020-01-30,3
2020-01-31,2
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,1
2020-02-05,2
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,2
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,4
2020-02-24,5
2020-02-25,8
2020-02-26,13
2020-02-27,15
2020-02-28,25
2020-02-29,20
2020-03-01,19
2020-03-02,19
2020-03-03,18
2020-03-04,17
2020-03-05,19
2020-03-06,19
2020-03-07,15
2020-03-08,17
2020-03-09,25
2020-03-10,33
2020-03-11,51
2020-03-12,80
2020-03-13,100
2020-03-14,93
2020-03-15,95
2020-03-16,92
2020-03-17,87
2020-03-18,76
2020-03-19,74
2020-03-20,74
2020-03-21,79
2020-03-22,81
2020-03-23,61
2020-03-24,55
2020-03-25,56
2020-03-26,53
2020-03-27,50
2020-03-28,51
2020-03-29,49
2020-03-30,47
2020-03-31,44
2020-04-01,42
2020-04-02,42
2020-04-03,39
2020-04-04,42
2020-04-05,41
2020-04-06,39
2020-04-07,35
2020-04-08,35
2020-04-09,33
2020-04-10,30
2020-04-11,34
2020-04-12,32
2020-04-13,34
2020-04-14,34
2020-04-15,57
2020-04-16,39
2020-04-17,33
2020-04-18,31
2020-04-19,30
2020-04-20,28
2020-04-21,29
2020-04-22,27
2020-04-23,27
2020-04-24,28
2020-04-25,26
2020-04-26,28
2020-04-27,25
2020-04-28,27
2020-04-29,30
2020-04-30,29
2020-05-01,25
2020-05-02,24
2020-05-03,26
2020-05-04,25
2020-05-05,27
2020-05-06,37
2020-05-07,35
2020-05-08,27
2020-05-09,23
2020-05-10,26
2020-05-11,25
2020-05-12,24
2020-05-13,24
2020-05-14,23
2020-05-15,21
2020-05-16,20
2020-05-17,25
2020-05-18,21
2020-05-19,19
2020-05-20,21
2020-05-21,21
2020-05-22,17
2020-05-23,18
2020-05-24,20
2020-05-25,22
2020-05-26,19
2020-05-27,21
2020-05-28,17
2020-05-29,18
2020-05-30,16
2020-05-31,17
2020-06-01,16
2020-06-02,19
2020-06-03,18
2020-06-04,17
2020-06-05,16
2020-06-06,17
2020-06-07,16
2020-06-08,16
2020-06-09,16
2020-06-10,16
2020-06-11,15
2020-06-12,14
2020-06-13,14
2020-06-14,16
2020-06-15,19
2020-06-16,25
2020-06-17,20
2020-06-18,17
2020-06-19,15
2020-06-20,15
2020-06-21,17
2020-06-22,15
2020-06-23,19
2020-06-24,19
2020-06-25,17
2020-06-26,15
2020-06-27,15
2020-06-28,14
2020-06-29,13
2020-06-30,15
2020-07-01,13
2020-07-02,14
2020-07-03,14
2020-07-04,15
2020-07-05,14
2020-07-06,13
2020-07-07,15
2020-07-08,14
