Kategorie: Alle Kategorien

Tag,corona: (Thüringen)
2020-01-01,<1
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,<1
2020-01-12,0
2020-01-13,0
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,0
2020-01-18,0
2020-01-19,<1
2020-01-20,<1
2020-01-21,<1
2020-01-22,<1
2020-01-23,1
2020-01-24,<1
2020-01-25,1
2020-01-26,1
2020-01-27,2
2020-01-28,2
2020-01-29,2
2020-01-30,5
2020-01-31,3
2020-02-01,2
2020-02-02,2
2020-02-03,2
2020-02-04,2
2020-02-05,1
2020-02-06,2
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,2
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,3
2020-02-24,4
2020-02-25,7
2020-02-26,11
2020-02-27,16
2020-02-28,22
2020-02-29,18
2020-03-01,18
2020-03-02,18
2020-03-03,26
2020-03-04,19
2020-03-05,21
2020-03-06,23
2020-03-07,20
2020-03-08,22
2020-03-09,24
2020-03-10,35
2020-03-11,43
2020-03-12,69
2020-03-13,100
2020-03-14,88
2020-03-15,93
2020-03-16,98
2020-03-17,88
2020-03-18,88
2020-03-19,94
2020-03-20,93
2020-03-21,95
2020-03-22,94
2020-03-23,76
2020-03-24,69
2020-03-25,65
2020-03-26,68
2020-03-27,65
2020-03-28,67
2020-03-29,58
2020-03-30,56
2020-03-31,52
2020-04-01,52
2020-04-02,52
2020-04-03,45
2020-04-04,49
2020-04-05,52
2020-04-06,48
2020-04-07,44
2020-04-08,42
2020-04-09,41
2020-04-10,39
2020-04-11,36
2020-04-12,36
2020-04-13,38
2020-04-14,36
2020-04-15,65
2020-04-16,44
2020-04-17,38
2020-04-18,34
2020-04-19,38
2020-04-20,37
2020-04-21,37
2020-04-22,35
2020-04-23,36
2020-04-24,31
2020-04-25,32
2020-04-26,32
2020-04-27,33
2020-04-28,31
2020-04-29,33
2020-04-30,33
2020-05-01,29
2020-05-02,27
2020-05-03,29
2020-05-04,30
2020-05-05,31
2020-05-06,45
2020-05-07,38
2020-05-08,30
2020-05-09,31
2020-05-10,31
2020-05-11,30
2020-05-12,31
2020-05-13,32
2020-05-14,27
2020-05-15,25
2020-05-16,25
2020-05-17,26
2020-05-18,24
2020-05-19,24
2020-05-20,24
2020-05-21,21
2020-05-22,19
2020-05-23,25
2020-05-24,21
2020-05-25,24
2020-05-26,24
2020-05-27,22
2020-05-28,22
2020-05-29,21
2020-05-30,19
2020-05-31,18
2020-06-01,19
2020-06-02,25
2020-06-03,19
2020-06-04,21
2020-06-05,20
2020-06-06,17
2020-06-07,19
2020-06-08,20
2020-06-09,23
2020-06-10,20
2020-06-11,17
2020-06-12,17
2020-06-13,14
2020-06-14,15
2020-06-15,19
2020-06-16,23
2020-06-17,20
2020-06-18,18
2020-06-19,17
2020-06-20,17
2020-06-21,16
2020-06-22,18
2020-06-23,19
2020-06-24,18
2020-06-25,14
2020-06-26,15
2020-06-27,16
2020-06-28,14
2020-06-29,13
2020-06-30,14
2020-07-01,12
2020-07-02,14
2020-07-03,15
2020-07-04,13
2020-07-05,15
2020-07-06,15
2020-07-07,15
2020-07-08,14
