metro_area,iso_3166_2_code,census_fips_code,date,RS_first2,areatype,perc_change
NA,NA,NA,2020-02-15,NA,retail_and_recreation_percent_change_from_baseline,6
NA,NA,NA,2020-02-15,NA,grocery_and_pharmacy_percent_change_from_baseline,1
NA,NA,NA,2020-02-15,NA,parks_percent_change_from_baseline,45
NA,NA,NA,2020-02-15,NA,transit_stations_percent_change_from_baseline,10
NA,NA,NA,2020-02-15,NA,workplaces_percent_change_from_baseline,0
NA,NA,NA,2020-02-15,NA,residential_percent_change_from_baseline,-1
NA,NA,NA,2020-02-16,NA,retail_and_recreation_percent_change_from_baseline,7
NA,NA,NA,2020-02-16,NA,grocery_and_pharmacy_percent_change_from_baseline,10
NA,NA,NA,2020-02-16,NA,parks_percent_change_from_baseline,9
NA,NA,NA,2020-02-16,NA,transit_stations_percent_change_from_baseline,6
NA,NA,NA,2020-02-16,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-02-16,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-02-17,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-02-17,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-02-17,NA,parks_percent_change_from_baseline,7
NA,NA,NA,2020-02-17,NA,transit_stations_percent_change_from_baseline,1
NA,NA,NA,2020-02-17,NA,workplaces_percent_change_from_baseline,-2
NA,NA,NA,2020-02-17,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-02-18,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-02-18,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-02-18,NA,parks_percent_change_from_baseline,10
NA,NA,NA,2020-02-18,NA,transit_stations_percent_change_from_baseline,1
NA,NA,NA,2020-02-18,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-02-18,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-02-19,NA,retail_and_recreation_percent_change_from_baseline,3
NA,NA,NA,2020-02-19,NA,grocery_and_pharmacy_percent_change_from_baseline,0
NA,NA,NA,2020-02-19,NA,parks_percent_change_from_baseline,6
NA,NA,NA,2020-02-19,NA,transit_stations_percent_change_from_baseline,-1
NA,NA,NA,2020-02-19,NA,workplaces_percent_change_from_baseline,-1
NA,NA,NA,2020-02-19,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-02-20,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-02-20,NA,grocery_and_pharmacy_percent_change_from_baseline,-1
NA,NA,NA,2020-02-20,NA,parks_percent_change_from_baseline,14
NA,NA,NA,2020-02-20,NA,transit_stations_percent_change_from_baseline,3
NA,NA,NA,2020-02-20,NA,workplaces_percent_change_from_baseline,-4
NA,NA,NA,2020-02-20,NA,residential_percent_change_from_baseline,1
NA,NA,NA,2020-02-21,NA,retail_and_recreation_percent_change_from_baseline,2
NA,NA,NA,2020-02-21,NA,grocery_and_pharmacy_percent_change_from_baseline,2
NA,NA,NA,2020-02-21,NA,parks_percent_change_from_baseline,15
NA,NA,NA,2020-02-21,NA,transit_stations_percent_change_from_baseline,-1
NA,NA,NA,2020-02-21,NA,workplaces_percent_change_from_baseline,-8
NA,NA,NA,2020-02-21,NA,residential_percent_change_from_baseline,2
NA,NA,NA,2020-02-22,NA,retail_and_recreation_percent_change_from_baseline,-1
NA,NA,NA,2020-02-22,NA,grocery_and_pharmacy_percent_change_from_baseline,-2
NA,NA,NA,2020-02-22,NA,parks_percent_change_from_baseline,26
NA,NA,NA,2020-02-22,NA,transit_stations_percent_change_from_baseline,9
NA,NA,NA,2020-02-22,NA,workplaces_percent_change_from_baseline,-3
NA,NA,NA,2020-02-22,NA,residential_percent_change_from_baseline,0
NA,NA,NA,2020-02-23,NA,retail_and_recreation_percent_change_from_baseline,0
