Kennziffer;Raumeinheit;Aggregat;Haushalte mit niedrigem Einkommen;Stationäre Pflege;Einwohner 65 Jahre und älter;Einwohner unter 6 Jahre;Einwohner von 6 bis unter 18 Jahren;Geschlechterproportion insgesamt;Ausländeranteil;Anteil Schutzsuchender an Bevölkerung;Wahlbeteiligung;Stimmenanteile AfD;Einwohnerdichte;Wohnfläche;Beschäftigtenquote;Arbeitsplatzwanderer;Schulabgänger ohne Abschluss;Schulabgänger mit Hochschulreife;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;SGB II - Quote;Große Bedarfsgemeinschaften;Anteil ALG II-Leistungen;Pendler mit Arbeitsweg 300 km und mehr;SGB II-/SGB XII-Quote;Schulabbrecherquote;Beschäftigungsquote;Hochqualifizierte
;;;2016;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"34,8";"30,1";"20,2";"5,5";"9,8";"1,01";"13,3";"2,9";"70,3";"7,5";"1.560";"44,1";"51,8";"-47,9";"8,5";"47,4";"15,7";"14,0";"16,2";"5,1";"37,4";"3,6";"18,1";"8,5";"51,8";"13,1"
"01002";"Kiel, Stadt";"krsfr. Stadt";"38,3";"26,0";"18,5";"5,3";"9,4";"1,05";"11,3";"3,0";"73,5";"6,9";"2.090";"38,9";"51,5";"-36,6";"7,3";"46,5";"13,9";"20,5";"16,9";"6,6";"38,7";"3,4";"18,3";"7,3";"51,5";"17,8"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"37,0";"36,0";"23,2";"5,2";"10,0";"1,08";"9,7";"2,3";"70,7";"8,9";"1.010";"40,5";"56,1";"-15,4";"11,1";"36,8";"12,8";"14,2";"16,1";"5,7";"36,8";"3,0";"17,8";"11,1";"56,1";"11,5"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"34,7";"30,4";"22,6";"5,3";"11,3";"1,02";"11,0";"2,8";"66,0";"10,3";"1.108";"43,1";"56,2";"-35,1";"7,2";"44,5";"15,0";"6,9";"15,6";"6,4";"37,9";"3,6";"17,5";"7,2";"56,2";"8,5"
"01051";"Dithmarschen";"Landkreis";"32,9";"28,8";"24,6";"4,8";"11,2";"1,02";"5,6";"2,0";"72,2";"8,6";"93";"54,3";"55,8";"-3,3";"8,6";"30,0";"12,7";"6,8";"11,8";"6,1";"38,8";"3,1";"11,8";"8,6";"55,8";"7,1"
"01053";"Herzogtum Lauenburg";"Landkreis";"27,3";"28,4";"22,3";"5,6";"11,8";"1,04";"7,5";"2,0";"76,8";"10,2";"155";"47,5";"58,2";"8,2";"9,6";"33,6";"10,8";"10,6";"8,6";"6,9";"36,4";"2,9";"9,1";"9,6";"58,2";"9,6"
"01054";"Nordfriesland";"Landkreis";"33,0";"27,2";"23,9";"4,9";"11,1";"1,04";"6,8";"2,0";"74,7";"5,8";"79";"58,1";"58,0";"-0,4";"7,3";"26,2";"11,7";"6,9";"8,1";"6,2";"38,5";"3,2";"8,3";"7,3";"58,0";"6,9"
"01055";"Ostholstein";"Landkreis";"32,2";"36,3";"27,3";"4,3";"10,3";"1,07";"5,5";"1,7";"75,3";"8,5";"151";"52,9";"58,1";"2,1";"8,4";"30,7";"10,6";"8,0";"8,4";"5,6";"36,5";"2,9";"9,0";"8,4";"58,1";"7,4"
"01056";"Pinneberg";"Landkreis";"25,6";"27,3";"22,1";"5,5";"11,5";"1,04";"10,1";"2,4";"78,1";"8,6";"471";"45,7";"61,8";"8,9";"6,9";"39,8";"11,4";"12,7";"8,7";"6,6";"34,9";"3,3";"8,8";"6,9";"61,8";"11,4"
