term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.08538971655163534,0.006580520981372544,-373.91106380320656,0,0.08396099178919979,0.08684460650781323
`Holiday (report)`,0.6802580133171754,0.015742513220475183,-24.474054176302506,2.791281674255793e-132,0.6533473764081786,0.7083838739446301
`Ban of mass gatherings`,0.7738998648121783,0.024132856678901447,-10.620905382231932,2.3823911051353432e-26,0.728262073682267,0.8224689763575018
`School and kindergarten closures`,1.0414658944926432,0.03241801492981656,1.2532918731811267,0.21009950493716747,0.9565930757272274,1.1340505903464015
`Contact restrictions`,0.8050975081939299,0.014087844295125341,-15.388577284517373,1.9527888102453887e-53,0.7763820134606223,0.8348594940754387
`Shop closures`,0.8489512396643273,0.018682093194562994,-8.765266572827196,1.8633522935092972e-18,0.8083098251621079,0.8915640039233157
`Holiday (exposure)`,1.004519890822773,0.02104840098974859,0.21425412762007034,0.8303488882147527,0.9521248285654871,1.059845078514995
`Mobility (retail and recreation)`,1.3555358505423882,0.017827970762443503,17.062897503345415,2.803004783887904e-65,1.2944425803239428,1.4196096288727553
`Mobility (grocery and pharmacy)`,1.0430641399157556,0.009087403198355147,4.639682955879088,3.4894409457696965e-6,1.019040376804791,1.067628365683847
`Mobility (parks)`,0.9051234524404732,0.010340896039504754,-9.639777120683448,5.43057558386634e-22,0.8810690880820403,0.9298228052766376
`Mobility (transit stations)`,1.0881139853654573,0.016990306304137014,4.970240523946125,6.686989621762181e-7,1.041235164519829,1.1370895497575113
`Mobility (workplaces)`,0.7868409022661148,0.01530179460344953,-15.666738081128997,2.553523887572622e-55,0.7564502510538801,0.8184283533522679
`Mobility (residential)`,0.9478229760611616,0.019069047715420215,-2.810183763579631,0.0049513220519958046,0.9027330960131877,0.9951580196833352
Rainfall,0.9950207186529865,0.005754580501668794,-0.8674340852590273,0.385704212804108,0.9804519433211244,1.009819454075674
Temperature,0.79622291040382,0.024576482807800018,-9.272119852440982,1.8248245060042503e-20,0.7477609572259004,0.847817345307778
Humidity,1.0461811723393037,0.011914545464859833,3.7891966328835065,1.5113525204804449e-4,1.014965728952564,1.0783533410834145
Wind,1.0277144677004175,0.005425142360444325,5.039014919857531,4.679340105690556e-7,1.013459267930737,1.042183989916132
`Indoor humidity`,1.0944394014567145,0.021677991708577503,4.162851948845775,3.142971659167824e-5,1.0352942700622736,1.156980471105706
`Searches corona`,1.3561101371077933,0.007056817524228259,43.1668251630298,0,1.3315051250054486,1.381203446150507
`Socio-economic status`,0.9638673478415793,0.009679422896930618,-3.8020448331994414,1.435067499277979e-4,0.9401320461089732,0.9882018858218822
`Age (pop. 65 and older)`,0.976492920804224,0.009065151375892276,-2.624090571216379,0.0086880678434446,0.9539429521720767,0.9995637788017948
`Foreign citizens`,1.01740545607625,0.00913613184768817,1.8887332674241302,0.05892757857616231,0.9937861610520025,1.0416039006309634
`Foreign citizens (refugees)`,0.9899952064506325,0.005556195678045117,-1.8097234901236754,0.07033867788551998,0.9761799116723916,1.0040776578161577
Turnout,0.9776244973555389,0.007831538409874888,-2.889551327551973,0.0038579202008837458,0.9581982597172509,0.9974453335927234
`Right-wing populist party votes`,1.0057164772240494,0.006961641678472037,0.8188011439736105,0.412899878159654,0.9879097886147478,1.0238547221529903
`Population density`,1.0166414114656501,0.008581399822565042,1.9232830077368819,0.0544445174113371,0.9943920693495522,1.0394145548743976
Gender,1.013376319598204,0.006021434433716241,2.2067244362921246,0.027333316967152806,0.9977862933893151,1.0292101151505173
`Age (pop. younger 18)`,0.9890090078225291,0.007262196675599013,-1.5218314628396883,0.12805131577275777,0.9707014714432671,1.0076594358396183
`Nursing homes`,1.0271011655057196,0.005012008149244531,5.335273037594238,9.540089182963163e-8,1.0138495037463728,1.0406093423103027
`COVID-19 burden`,0.9141602801563099,0.007930625074349319,-11.316808049709337,1.0834535851845442e-29,0.8952452525714142,0.9333196898465032
`Active cases`,1.0000535994502713,7.490148025285654e-6,7.155801686566817,8.318532829750624e-13,1.0000331859826397,1.0000744315903625
`Weekday (report)`2Sa,0.7237320392545759,0.008655953690757558,-37.35395060820009,2.1873590630551255e-305,0.7078745854354983,0.7399448049923725
`Weekday (report)`3So,0.4654352558664846,0.011019661010231213,-69.4016155642178,0,0.4525257653005996,0.47871426996088234
`Weekday (report)`4Mo,0.7691494225489791,0.01213088019099742,-21.63651908297642,8.142293447062583e-104,0.7457454181830485,0.7932852860949864
`Weekday (report)`5Di,0.965024192890287,0.0086266125966746,-4.127008974357112,3.675120569107656e-5,0.9438881805411843,0.9866317402133377
`Weekday (report)`6Mi,1.1229002614179107,0.00845507323499787,13.709503653093488,8.9065020707069e-43,1.0987992632292545,1.1475278274710705
`Weekday (report)`7Do,1.0661712388491793,0.00835964535636759,7.664673192535927,1.7928712605153487e-14,1.0435205512701804,1.08931147957344
