"variable";"observed";"dynamics";"level";"missing values";"type";"unit/comment";"source"
"Weekday";"obs";"daily";"national";0;"categorical";"Sat through Thu as six binary variables, Fri as baseline";""
"Holiday (report)";"obs";"daily";"national";0;"binary";"";""
"Holiday (exposure)";"obs";"daily";"national";0;"binary";"";""
"retail and recreation";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"grocery and pharmacy";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"parks";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"workplaces";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"residential";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"transit stations";"obs";"daily";"state";0;"numeric";"percent change compared to reference period";"(ref:googlemobility)"
"Rainfall";"obs";"daily";"district";0;"numeric";"mm (l/sqm)";"(ref:dwdweather)"
"Temperature";"obs";"daily";"district";0;"numeric";"°C";"(ref:dwdweather)"
"Humidity";"obs";"daily";"district";0;"numeric";"relative humidity (%)";"(ref:dwdweather)"
"Wind";"obs";"daily";"district";0;"numeric";"m/s";"(ref:dwdweather)"
"Ban of mass gatherings";"obs";"daily";"national";0;"binary";"";""
"School and kindergarten closures";"obs";"daily";"state";0;"numeric";"0 for no closure, 1 for full closure, 0.5 for partial reopening";""
"Contact restrictions";"obs";"daily";"national";0;"binary";"";""
"Mandatory face masks";"obs";"daily";"district";0;"binary";"";"(ref:postfacemasks)"
"Age";"obs";"constant";"district";0;"numeric";"2 variables: share of population >=65 years & <18 years";"(ref:inkar)"
"Gender";"obs";"constant";"district";0;"numeric";"share of female population";"(ref:inkar)"
"Population density";"obs";"constant";"district";0;"numeric";"population per sqkm";"(ref:inkar)"
"Foreign citizens";"obs";"constant";"district";0;"numeric";"2 variables: share of foreign citizens & of population seeking refuge";"(ref:inkar)"
"Socio-economic status";"obs";"constant";"district";0;"numeric";"share of households with low income";"(ref:inkar)"
"Trust in society";"unobs";"constant";"";0;"";"";""
"Turnout";"obs";"constant";"district";0;"numeric";"voter turnout in last election";"(ref:inkar)"
"Right-wing populist party votes";"obs";"constant";"district";0;"numeric";"share of votes for AfD in last election";"(ref:inkar)"
"Nursing homes";"obs";"constant";"district";0;"numeric";"number of nursing (retirement) homes";"(ref:inkar)"
"Searches corona";"obs";"daily";"state";0;"numeric";"percent relative to other states and observation period";"(ref:googletrends)"
"COVID-19 burden";"obs";"daily";"district";0;"numeric";"reported cases on day of exposure";"(ref:rki)"
"Reported new cases of COVID-19";"obs";"daily";"district";0;"numeric";"";"(ref:rki)"
"Active cases";"obs";"daily";"district";0;"numeric";"active cases on day of report";"(ref:rki)"
"Testing capacity";"unobs";"";"";0;"";"ability of health institutions to trace and test";""
"Exposure to SARS-CoV-2";"unobs";"";"";0;"";"infection with the virus";""
"Access to tests";"unobs";"";"";0;"";"";""
"Herd immunity";"unobs";"";"";0;"";"immunity to infection (after recovery or vaccination)";""
"Susceptibility";"unobs";"";"";0;"";"ability to develop COVID-19 after exposure";""
"Onset of COVID-19";"unobs";"";"";0;"";"onset of symptoms/observed infected status";""
