Kategorie: Alle Kategorien

Woche,corona: (Baden-Württemberg)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,3
2020-02-09,2
2020-02-16,1
2020-02-23,20
2020-03-01,29
2020-03-08,71
2020-03-15,100
2020-03-22,72
2020-03-29,56
2020-04-05,45
2020-04-12,47
2020-04-19,36
2020-04-26,34
2020-05-03,37
2020-05-10,32
2020-05-17,26
2020-05-24,25
2020-05-31,23
2020-06-07,21
2020-06-14,24
2020-06-21,20
2020-06-28,19
2020-07-05,19
2020-07-12,19
2020-07-19,20
2020-07-26,24
2020-08-02,22
2020-08-09,22
2020-08-16,25
2020-08-23,25
2020-08-30,19
2020-09-06,18
2020-09-13,19
2020-09-20,22
2020-09-27,22
2020-10-04,30
2020-10-11,46
2020-10-18,53
2020-10-25,54
2020-11-01,32
2020-11-08,29
2020-11-15,30
2020-11-22,30
2020-11-29,28
2020-12-06,45
2020-12-13,49
2020-12-20,40
2020-12-27,32
2021-01-03,44
2021-01-10,33
2021-01-17,37
2021-01-24,29
