Kategorie: Alle Kategorien

Woche,corona: (Hessen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,4
2020-02-02,3
2020-02-09,2
2020-02-16,1
2020-02-23,18
2020-03-01,26
2020-03-08,69
2020-03-15,100
2020-03-22,73
2020-03-29,55
2020-04-05,43
2020-04-12,45
2020-04-19,36
2020-04-26,32
2020-05-03,37
2020-05-10,30
2020-05-17,24
2020-05-24,24
2020-05-31,22
2020-06-07,21
2020-06-14,23
2020-06-21,21
2020-06-28,18
2020-07-05,18
2020-07-12,17
2020-07-19,18
2020-07-26,22
2020-08-02,22
2020-08-09,21
2020-08-16,25
2020-08-23,28
2020-08-30,19
2020-09-06,17
2020-09-13,18
2020-09-20,19
2020-09-27,21
2020-10-04,28
2020-10-11,41
2020-10-18,52
2020-10-25,55
2020-11-01,32
2020-11-08,29
2020-11-15,29
2020-11-22,29
2020-11-29,24
2020-12-06,37
2020-12-13,41
2020-12-20,36
2020-12-27,30
2021-01-03,42
2021-01-10,32
2021-01-17,34
2021-01-24,26
