Kategorie: Alle Kategorien

Woche,corona: (Mecklenburg-Vorpommern)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,12
2020-03-01,20
2020-03-08,65
2020-03-15,100
2020-03-22,75
2020-03-29,52
2020-04-05,47
2020-04-12,49
2020-04-19,38
2020-04-26,33
2020-05-03,35
2020-05-10,30
2020-05-17,24
2020-05-24,21
2020-05-31,21
2020-06-07,20
2020-06-14,21
2020-06-21,19
2020-06-28,16
2020-07-05,14
2020-07-12,15
2020-07-19,16
2020-07-26,22
2020-08-02,22
2020-08-09,24
2020-08-16,20
2020-08-23,18
2020-08-30,14
2020-09-06,13
2020-09-13,17
2020-09-20,20
2020-09-27,21
2020-10-04,32
2020-10-11,38
2020-10-18,49
2020-10-25,61
2020-11-01,38
2020-11-08,33
2020-11-15,30
2020-11-22,30
2020-11-29,27
2020-12-06,46
2020-12-13,49
2020-12-20,36
2020-12-27,32
2021-01-03,47
2021-01-10,40
2021-01-17,43
2021-01-24,33
