Kategorie: Alle Kategorien

Woche,corona: (Saarland)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,2
2020-02-09,1
2020-02-16,2
2020-02-23,16
2020-03-01,27
2020-03-08,71
2020-03-15,100
2020-03-22,73
2020-03-29,62
2020-04-05,41
2020-04-12,39
2020-04-19,35
2020-04-26,33
2020-05-03,31
2020-05-10,28
2020-05-17,23
2020-05-24,22
2020-05-31,20
2020-06-07,18
2020-06-14,21
2020-06-21,19
2020-06-28,18
2020-07-05,17
2020-07-12,19
2020-07-19,19
2020-07-26,20
2020-08-02,20
2020-08-09,18
2020-08-16,23
2020-08-23,25
2020-08-30,19
2020-09-06,14
2020-09-13,18
2020-09-20,18
2020-09-27,19
2020-10-04,31
2020-10-11,51
2020-10-18,47
2020-10-25,50
2020-11-01,33
2020-11-08,30
2020-11-15,28
2020-11-22,28
2020-11-29,21
2020-12-06,36
2020-12-13,40
2020-12-20,33
2020-12-27,29
2021-01-03,36
2021-01-10,29
2021-01-17,33
2021-01-24,25
