Kategorie: Alle Kategorien

Woche,corona: (Sachsen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,13
2020-03-01,20
2020-03-08,62
2020-03-15,100
2020-03-22,76
2020-03-29,56
2020-04-05,44
2020-04-12,49
2020-04-19,37
2020-04-26,35
2020-05-03,38
2020-05-10,31
2020-05-17,23
2020-05-24,22
2020-05-31,20
2020-06-07,16
2020-06-14,20
2020-06-21,18
2020-06-28,15
2020-07-05,14
2020-07-12,13
2020-07-19,14
2020-07-26,18
2020-08-02,18
2020-08-09,17
2020-08-16,18
2020-08-23,19
2020-08-30,15
2020-09-06,15
2020-09-13,17
2020-09-20,19
2020-09-27,19
2020-10-04,26
2020-10-11,45
2020-10-18,58
2020-10-25,56
2020-11-01,36
2020-11-08,34
2020-11-15,35
2020-11-22,38
2020-11-29,43
2020-12-06,58
2020-12-13,53
2020-12-20,41
2020-12-27,37
2021-01-03,41
2021-01-10,36
2021-01-17,39
2021-01-24,31
