Kategorie: Alle Kategorien

Woche,corona: (Sachsen-Anhalt)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,13
2020-03-01,21
2020-03-08,64
2020-03-15,100
2020-03-22,77
2020-03-29,62
2020-04-05,48
2020-04-12,49
2020-04-19,38
2020-04-26,35
2020-05-03,35
2020-05-10,29
2020-05-17,26
2020-05-24,23
2020-05-31,19
2020-06-07,19
2020-06-14,25
2020-06-21,21
2020-06-28,15
2020-07-05,14
2020-07-12,13
2020-07-19,14
2020-07-26,18
2020-08-02,17
2020-08-09,15
2020-08-16,18
2020-08-23,18
2020-08-30,14
2020-09-06,13
2020-09-13,15
2020-09-20,18
2020-09-27,17
2020-10-04,23
2020-10-11,33
2020-10-18,47
2020-10-25,59
2020-11-01,37
2020-11-08,30
2020-11-15,31
2020-11-22,32
2020-11-29,31
2020-12-06,44
2020-12-13,56
2020-12-20,42
2020-12-27,34
2021-01-03,46
2021-01-10,40
2021-01-17,41
2021-01-24,32
