Kategorie: Alle Kategorien

Woche,corona: (Thüringen)
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,2
2020-02-02,2
2020-02-09,1
2020-02-16,1
2020-02-23,14
2020-03-01,22
2020-03-08,57
2020-03-15,100
2020-03-22,76
2020-03-29,57
2020-04-05,46
2020-04-12,44
2020-04-19,37
2020-04-26,32
2020-05-03,34
2020-05-10,31
2020-05-17,26
2020-05-24,22
2020-05-31,21
2020-06-07,19
2020-06-14,21
2020-06-21,17
2020-06-28,15
2020-07-05,14
2020-07-12,15
2020-07-19,15
2020-07-26,16
2020-08-02,16
2020-08-09,17
2020-08-16,16
2020-08-23,17
2020-08-30,15
2020-09-06,15
2020-09-13,16
2020-09-20,19
2020-09-27,19
2020-10-04,23
2020-10-11,41
2020-10-18,50
2020-10-25,62
2020-11-01,40
2020-11-08,36
2020-11-15,36
2020-11-22,38
2020-11-29,35
2020-12-06,48
2020-12-13,53
2020-12-20,41
2020-12-27,39
2021-01-03,50
2021-01-10,40
2021-01-17,38
2021-01-24,34
