variable,mymean,mysd
Mobility (retail and recreation),-35.65872447593887,22.51343022479201
Mobility (grocery and pharmacy),-7.00202464136688,21.620873449984213
Mobility (parks),14.186020098269179,35.33329787719383
Mobility (transit stations),-34.9618281030098,16.29542008387046
Mobility (workplaces),-24.459198538307696,18.041778556207355
Mobility (residential),9.780721463667565,5.3571587902701445
Rainfall,1.565240364435446,3.1162509343842437
Temperature,4.872480514884406,4.624177347752206
Humidity,87.52247858077578,6.299729483841809
Wind,3.24553700669904,1.504968079246069
Searches corona,33.35887780548629,8.331164747902767
Socio-economic status,30.637157107231918,6.021502483167983
Age (pop. 65 and older),22.087531172069827,2.7437765414983097
Age (pop. younger 18),16.172568578553616,1.2461748256438463
Foreign citizens,10.034912718204488,5.142831024693942
Foreign citizens (refugees),1.88428927680798,1.1421246528456734
Turnout,75.07581047381547,3.789326633302639
Right-wing populist party votes,13.388279301745637,5.3229366400223395
Population density,533.7481296758104,701.8452996098675
Gender,0.5059158495513373,0.006419850970481981
Nursing homes,36.109725685785534,30.692688790032502
COVID-19 burden,42.85395422335251,74.41084102936256
