Haushalte mit niedrigem Einkommen,Einwohner 65 Jahre und älter,Ausländeranteil,Anteil Schutzsuchender an Bevölkerung,Wahlbeteiligung,Stimmenanteile AfD,Einwohnerdichte,Frauenanteil,Age (pop. younger 18),Kennziffer,Raumeinheit,Aggregat
34.8,20.2,13.3,2.9,70.3,7.5,1560,0.5024875621890548,15.3,01001,"Flensburg, Stadt",krsfr. Stadt
38.3,18.5,11.3,3,73.5,6.9,2090,0.5121951219512195,14.7,01002,"Kiel, Stadt",krsfr. Stadt
37,23.2,9.7,2.3,70.7,8.9,1010,0.5192307692307693,15.2,01003,"Lübeck, Stadt",krsfr. Stadt
34.7,22.6,11,2.8,66,10.3,1108,0.504950495049505,16.6,01004,"Neumünster, Stadt",krsfr. Stadt
32.9,24.6,5.6,2,72.2,8.6,93,0.504950495049505,16,01051,Dithmarschen,Landkreis
27.3,22.3,7.5,2,76.8,10.2,155,0.5098039215686274,17.4,01053,Herzogtum Lauenburg,Landkreis
33,23.9,6.8,2,74.7,5.8,79,0.5098039215686274,16,01054,Nordfriesland,Landkreis
32.2,27.3,5.5,1.7,75.3,8.5,151,0.5169082125603864,14.600000000000001,01055,Ostholstein,Landkreis
25.6,22.1,10.1,2.4,78.1,8.6,471,0.5098039215686274,17,01056,Pinneberg,Landkreis
28.4,25.8,4.7,1.9,79.6,7.7,112,0.5145631067961165,16,01057,Plön,Landkreis
27.8,23.2,5,2,78.2,7.3,125,0.5073891625615763,16.9,01058,Rendsburg-Eckernförde,Landkreis
30,23.6,5.1,1.7,76.5,6.6,96,0.504950495049505,17.1,01059,Schleswig-Flensburg,Landkreis
26,21.7,8.1,2.1,76.5,9,198,0.504950495049505,17.1,01060,Segeberg,Landkreis
30.6,22.6,6.6,2.2,74.8,8.2,125,0.504950495049505,16.4,01061,Steinburg,Landkreis
21.3,23,7,2,80.4,9.1,334,0.5121951219512195,17.3,01062,Stormarn,Landkreis
33.4,18.4,16.2,2.9,75.4,7.8,2424,0.5098039215686274,16.6,02000,"Hamburg, Stadt",krsfr. Stadt
35.5,21,9.7,1.5,76.4,8.4,1287,0.504950495049505,14.600000000000001,03101,"Braunschweig, Stadt",krsfr. Stadt
33.4,22.8,16.9,4.3,70.9,16.4,466,0.5024875621890548,17.6,03102,"Salzgitter, Stadt",krsfr. Stadt
28.9,22.3,14.3,2.5,73.2,11.7,606,0.5024875621890548,16.2,03103,"Wolfsburg, Stadt",krsfr. Stadt
28.6,19.8,6.2,1.4,76.6,11.4,112,0.5,17.9,03151,Gifhorn,Landkreis
34.5,27.2,8.9,2.3,73.4,11.1,142,0.504950495049505,13.7,03153,Goslar,Landkreis
31.1,23.2,6.6,1.8,73.7,9.9,136,0.504950495049505,15.7,03154,Helmstedt,Landkreis
32.2,25.3,5.9,2,74.8,9.5,105,0.5073891625615763,15.2,03155,Northeim,Landkreis
31.1,21.4,7.2,2.1,77,10.3,249,0.504950495049505,17.6,03157,Peine,Landkreis
31.7,23.4,5.9,1.9,79.3,9.9,166,0.504950495049505,15.8,03158,Wolfenbüttel,Landkreis
34.6,22.3,8.1,1.9,76.3,8.1,187,0.5073891625615763,15.1,03159,Göttingen,Landkreis
33.5,21.1,13.1,3,76.7,9.4,502,0.5098039215686274,16.5,03241,Region Hannover,Landkreis
27.3,22.2,7.8,2.1,76.2,8.4,108,0.5024875621890548,16.7,03251,Diepholz,Landkreis
32.9,25.4,9.7,2.8,74.1,10.5,186,0.5169082125603864,15.7,03252,Hameln-Pyrmont,Landkreis
30.6,23.2,7.6,2.2,77.1,9.3,229,0.5121951219512195,15.6,03254,Hildesheim,Landkreis
32.2,26,7,2,73.9,9.6,102,0.504950495049505,15.2,03255,Holzminden,Landkreis
31.7,22,7.7,2.8,72.8,9.8,87,0.5024875621890548,17,03256,Nienburg (Weser),Landkreis
31.2,24.4,8.2,2.5,76.2,10.3,234,0.5098039215686274,15.8,03257,Schaumburg,Landkreis
32.6,23.2,7.4,2.6,74.8,11.7,115,0.5073891625615763,17.3,03351,Celle,Landkreis
30.3,25,6.2,1.9,75.1,8.9,96,0.5098039215686274,16.2,03352,Cuxhaven,Landkreis
25.1,22.2,7.3,1.5,80.8,10,201,0.5073891625615763,17.299999999999997,03353,Harburg,Landkreis
35.1,27.6,5.3,1.3,73.6,7.8,39,0.5098039215686274,15.4,03354,Lüchow-Dannenberg,Landkreis
30.7,19.8,6.6,2.2,78.6,9.2,138,0.5121951219512195,17.299999999999997,03355,Lüneburg,Landkreis
27.5,23.2,5.3,1.8,77.8,9.6,173,0.5073891625615763,16.7,03356,Osterholz,Landkreis
30.1,20.9,6,1.8,76.5,8.1,79,0.49748743718592964,17.3,03357,Rotenburg (Wümme),Landkreis
31.8,22.3,7.7,1.8,74.6,9.7,74,0.5,16.9,03358,Heidekreis,Landkreis
